Recon 2 ID	Name	InChIKey	ChEBI ID	HMDB ID	KEGG ID	PubChem Compound ID	LMSD ID
34dhoxpeg	3,4-Dihydroxyphenylethyleneglycol	MTVWFVDWRVYDOR-UHFFFAOYSA-N	1387	HMDB00318	C05576	91528	
34dhpac	3,4-Dihydroxyphenylacetaldehyde	IADQVXRMSNIUEL-UHFFFAOYSA-N	27978	HMDB03791	C04043		
34dhpha	(3,4-dihydroxyphenyl)acetate	CFFZDZCDUFSOFZ-UHFFFAOYSA-N	41941	HMDB01336	C01161		
34dhphe	L-dopa	WTDRDQBEARUVNC-LURJTMIESA-N	15765	HMDB00181	C00355		
34hpl	3-(4-hydroxyphenyl)lactate	JVGVDSSUAVXRDY-UHFFFAOYSA-N	17385	HMDB00755	C03672		
34hpp	3-(4-hydroxyphenyl)pyruvate	KKADPXVIOXHVKN-UHFFFAOYSA-N	15999	HMDB00707	C01179	979	
35cgmp	3',5'-cyclic GMP(1-)	ZOOGRGPOEVQQDX-UUOKFMHZSA-N	16356	HMDB01314	C00942	24316	
35diotyr	3,5-diiodo-L-tyrosine	NYPYHUZRZVSYKL-ZETCQYMHSA-N	15768	HMDB03474	C01060	9305	
3aib	(S)-3-aminoisobutyric acid	QCHPKSFMDHPSNR-VKHMYHEASA-N	33094	HMDB02166	C03284		LMFA01100050
3aib_D	D-3-Amino-isobutanoate	QCHPKSFMDHPSNR-GSVOUGTGSA-N	16320	HMDB02299	C01205	5459822	LMFA01100049
3amp	3'-AMP(2-)	LNQVTSROQXJCDD-KQYNXXCUSA-N	28931	HMDB03540	C01367		
3bcrn	3-hydroxy butyryl carnitine						
3ddcrn	3-hydroxydodecanoylcarnitine						
3ddecdicoa	3,6-dodecadienoylcoa	KEPSPLQXVPROMK-GXFXHJQUSA-N	28002	HMDB03952	C05280	5280771	
3deccrn	3-hydroxydecanoylcarnitine						
3decdicoa	3,7-decadienoylcoa						
3dhguln	3-dehydro-L-gulonate	WTAHRPBPWHCMHW-LWKDLAHASA-N	16142	HMDB06334	C00618		
3docopencoa	3,7,10,13,16-docosapentenoylcoa						
3dodtricoa	3,6,9-dodecatrienoylcoa						
3dpdhb	3-Decaprenyl-4,5-dihdydroxybenzoate	HGWUGDIATLOPBN-UHFFFAOYSA-N	50775				
3dpdhb_me	3-Decaprenyl-4-hydroxy-5-methoxybenzoate	WCQCNOIKXGNDLX-UHFFFAOYSA-N	62796				
3dphb	3-Decaprenyl-4-hydroxybenzoate	CMPNJZREBHCPHN-UHFFFAOYSA-N	64136	HMDB06251			
