"affy_hg_u95av2"	"entrezgene"
"40797_at"	102
"31934_at"	102
"34614_at"	3765
"37827_r_at"	9980
"41843_r_at"	84272
"34957_at"	26240
"32727_at"	5959
"1169_at"	56099
"657_at"	56099
"33534_at"	11082
"38623_at"	NA
"38542_at"	29121
"37118_at"	10740
"32114_s_at"	NA
"37132_at"	27130
"32608_at"	126208
"33762_r_at"	NA
"33761_s_at"	NA
"40017_at"	25891
"40553_at"	646652
"40553_at"	100506217
"455_at"	6603
"34694_at"	6603
"34695_at"	6603
"35512_at"	148066
"38623_at"	92170
"32114_s_at"	135
"41633_at"	100533955
"1199_at"	100533955
"32237_at"	23008
"39230_at"	9582
"33390_at"	26781
"33391_r_at"	26781
"1199_at"	26781
"36313_at"	2123
"41307_at"	NA
"36234_at"	652965
"657_at"	56105
"32099_at"	9667
"35454_at"	9651
"34187_at"	5939
"37220_at"	NA
"37437_at"	9742
"41768_at"	5573
"226_at"	5573
"227_g_at"	5573
"41185_f_at"	NA
"38442_at"	4237
"37720_at"	NA
"33821_at"	60481
"35117_at"	60481
"31568_at"	NA
"32724_at"	5264
"38103_at"	26058
"36013_at"	10463
"1019_g_at"	7480
"1018_at"	7480
"32382_at"	7348
"34086_at"	9294
"39668_at"	7021
"2015_s_at"	5395
"38556_at"	5395
"526_s_at"	5395
"33116_f_at"	6206
"37885_at"	NA
"37697_s_at"	NA
"34413_at"	81565
"306_s_at"	NA
"37037_at"	5033
"34106_at"	2768
"919_at"	2768
"34046_at"	23616
"36574_at"	3421
"38401_s_at"	26065
"38400_at"	26065
"1035_g_at"	7078
"1034_at"	7078
"38091_at"	654346
"34377_at"	477
"35097_at"	4113
"1514_g_at"	354
"1805_g_at"	354
"1804_at"	354
"40794_at"	354
"1513_at"	354
"1662_r_at"	354
"1661_i_at"	354
"34763_at"	NA
"39717_g_at"	9553
"39716_at"	9553
"39239_at"	926
"39239_at"	100996919
"33364_at"	NA
"702_f_at"	55545
"33667_at"	NA
"39744_at"	NA
"40936_at"	51232
"32879_at"	NA
"35916_s_at"	NA
"33859_at"	10284
"41277_at"	10284
"34653_at"	5913
"31527_at"	6187
"1969_s_at"	NA
"33317_at"	NA
"38966_at"	NA
"34401_at"	7386
"32476_at"	4114
"35790_at"	9559
"35866_at"	10795
"1515_at"	NA
"35945_at"	1740
"34352_at"	5092
"33635_at"	10672
"1139_at"	10672
"31555_at"	3211
"32652_g_at"	29114
"32650_at"	29114
"35152_at"	10268
"40591_at"	996
"36477_at"	7137
"38878_at"	60682
"35421_at"	4012
"37751_at"	9777
"676_g_at"	NA
"35968_s_at"	NA
"31568_at"	376693
"36043_at"	4978
"41093_at"	4978
"34936_at"	9497
"38380_at"	10775
"31582_at"	4115
"39245_at"	NA
"38442_at"	NA
"1989_at"	675
"1503_at"	675
"1990_g_at"	675
"39860_at"	8880
"39676_at"	4618
"31583_at"	94162
"34160_at"	NA
"34340_at"	NA
"1575_at"	5243
"1682_s_at"	5243
"1576_g_at"	5243
"41233_at"	NA
"349_g_at"	3833
"38933_at"	3833
"348_at"	3833
"33653_at"	4617
"35994_at"	NA
"35993_s_at"	NA
"40445_at"	NA
"39590_at"	321
"832_at"	7322
"38705_at"	7322
"39184_at"	6923
"33022_at"	8608
"33566_at"	169841
"36351_at"	81621
"595_at"	7128
"31582_at"	4112
"33970_at"	4112
"35486_at"	8825
"474_at"	8526
"36231_at"	113791
"35994_at"	55957
"35993_s_at"	55957
"40834_at"	23037
"41810_at"	150967
"38028_at"	55885
"41706_at"	114899
"39210_at"	2526
"36283_at"	1656
"40274_at"	1628
"763_at"	2764
"37058_at"	7363
"825_at"	8899
"32784_at"	8899
"492_g_at"	5793
"491_at"	5793
"38604_at"	4852
"35112_at"	8787
"31897_at"	11259
"37853_at"	7349
"35014_at"	NA
"41856_at"	219699
"34301_r_at"	3872
"33353_at"	107
"35580_at"	107
"41690_at"	84159
"41569_at"	NA
"36511_at"	22908
"39834_at"	1145
"34428_at"	3764
"32748_at"	NA
"37349_r_at"	NA
"31579_at"	NA
"35113_at"	6580
"39642_at"	54898
"37940_f_at"	27350
"37939_at"	27350
"35716_at"	6819
"223_at"	NA
"36242_at"	NA
"31646_at"	10941
"41048_at"	5366
"34537_at"	3768
"34537_at"	100996843
"41727_at"	23019
"41639_at"	23397
"37239_r_at"	9088
"37238_s_at"	9088
"480_at"	9088
"218_at"	3550
"38046_at"	3550
"32377_at"	3550
"40553_at"	728093
"40553_at"	100652783
"32921_at"	653188
"41643_at"	653188
"32921_at"	100049076
"41643_at"	100049076
"33836_at"	283970
"40951_at"	283970
"38323_at"	54504
"34451_at"	51678
"33715_r_at"	728340
"33715_r_at"	730394
"39610_at"	3212
"36845_at"	23515
"1275_at"	5229
"34099_f_at"	NA
"36429_at"	11318
"34948_at"	200316
"36430_at"	NA
"35397_at"	10635
"38532_at"	9880
"1853_at"	7471
"37260_at"	10060
"37261_g_at"	10060
"41346_at"	9215
"33359_at"	23284
"38694_at"	9747
"38694_at"	100294033
"33137_at"	8425
"37516_at"	23109
"41379_at"	23137
"38203_at"	NA
"40553_at"	NA
"32220_at"	NA
"34947_at"	60489
"41472_at"	60489
"33620_at"	3213
"38053_s_at"	9577
"31916_at"	NA
"34423_at"	25854
"39353_at"	NA
"35628_at"	7108
"41099_at"	NA
"34519_at"	4883
"158_at"	11080
"33533_at"	11080
"34455_at"	7568
"449_at"	10668
"450_g_at"	10668
"36514_at"	10668
"31397_at"	NA
"36815_at"	NA
"1385_at"	7045
"33063_at"	2811
"35931_at"	7554
"31896_at"	51594
"34631_at"	2070
"36640_at"	4633
"33296_at"	26035
"31450_s_at"	6014
"34346_at"	5571
"37949_at"	NA
"36074_at"	91380
"36074_at"	100033416
"36074_at"	100033433
"36074_at"	100033444
"36074_at"	100033450
"36074_at"	100033802
"36074_at"	100033820
"36074_at"	100506948
"35751_at"	6390
"41732_at"	552900
"41732_at"	654483
"41732_at"	101060252
"33619_at"	6207
"33619_at"	85388
"33619_at"	100508408
"1653_at"	NA
"889_at"	3696
"35382_at"	8996
"32631_at"	NA
"40626_at"	NA
"35931_at"	NA
"35884_at"	10107
"37740_r_at"	NA
"38802_at"	10857
"36893_at"	2230
"32632_g_at"	2630
"32631_at"	2630
"40889_at"	2630
"39696_at"	23089
"41625_at"	9969
"34767_at"	64112
"41174_at"	9648
"41477_at"	3769
"38691_s_at"	6440
"35016_at"	972
"32866_at"	NA
"37181_at"	4358
"36932_at"	4358
"38519_at"	9971
"41437_at"	26175
"2042_s_at"	4602
"1474_s_at"	4602
"1473_s_at"	4602
"1475_s_at"	4602
"1472_g_at"	4602
"1476_s_at"	4602
"1471_at"	4602
"41854_at"	4602
"31667_r_at"	NA
"41747_s_at"	4205
"40886_at"	NA
"40446_at"	5252
"34015_at"	5737
"1399_at"	NA
"34784_at"	11078
"34299_at"	23598
"34300_at"	23598
"32260_at"	8682
"1527_s_at"	90634
"34240_s_at"	90634
"34239_at"	90634
"35902_at"	255926
"39957_at"	9306
"39958_at"	9306
"37170_at"	55589
"38278_at"	10865
"35674_at"	11240
"39864_at"	1153
"40890_at"	NA
"31386_at"	NA
"39365_i_at"	5507
"39366_at"	5507
"39364_s_at"	5507
"40061_at"	5326
"36927_at"	10964
"31854_at"	8573
"36414_s_at"	8573
"33870_at"	51780
"31456_at"	NA
"35672_at"	285116
"35191_at"	9853
"38052_at"	2162
"36996_at"	10956
"1027_at"	1302
"41652_at"	1302
"1026_s_at"	1302
"34468_at"	3360
"34467_g_at"	3360
"34466_at"	3360
"39424_at"	8764
"39882_at"	NA
"37527_at"	2004
"559_s_at"	3195
"35907_at"	899
"1925_at"	899
"1996_s_at"	899
"36750_at"	23504
"40850_at"	23770
"39626_s_at"	645682
"34104_i_at"	NA
"31388_at"	NA
"38397_at"	NA
"33676_at"	NA
"1542_at"	1950
"32217_at"	81566
"41150_r_at"	23509
"39823_at"	50717
"38131_at"	9536
"1740_g_at"	NA
"1739_at"	NA
"41280_r_at"	9479
"41279_f_at"	9479
"41280_r_at"	101060620
"41279_f_at"	101060620
"1943_at"	890
"40697_at"	890
"38812_at"	3913
"39386_at"	9587
"31424_at"	135948
"31425_g_at"	135948
"2050_s_at"	NA
"31646_at"	574537
"35895_at"	3952
"33678_i_at"	NA
"31493_s_at"	1443
"36784_at"	1443
"39283_at"	357
"40415_at"	NA
"33423_g_at"	6396
"33422_at"	6396
"38060_at"	NA
"39252_at"	8801
"33619_at"	NA
"34277_at"	770
"38310_at"	4849
"41863_at"	138046
"35597_at"	10221
"39232_at"	3987
"35424_g_at"	2915
"35423_at"	2915
"37568_at"	2915
"36319_at"	2295
"37003_at"	967
"33447_at"	10627
"38505_at"	NA
"1837_at"	NA
"1838_g_at"	NA
"1232_s_at"	3484
"35085_r_at"	NA
"40979_at"	10598
"34031_i_at"	NA
"35890_at"	223117
"35889_at"	223117
"37796_at"	NA
"31959_at"	145241
"33498_at"	NA
"37641_at"	10561
"330_s_at"	80086
"39254_at"	26064
"37812_at"	23316
"37574_at"	4739
"36056_g_at"	23383
"36054_at"	23383
"41027_at"	2296
"32233_at"	27348
"39079_at"	2079
"35119_at"	644511
"36356_at"	8200
"33655_f_at"	NA
"37182_at"	6855
"40210_at"	NA
"37503_at"	23329
"36265_at"	23329
"37362_at"	NA
"35316_at"	10670
"35506_s_at"	1472
"32197_at"	8402
"38010_at"	664
"31513_at"	10660
"39281_at"	768220
"32791_at"	27346
"41325_at"	3777
"34459_at"	NA
"34455_at"	NA
"39797_at"	23304
"32208_at"	9710
"36742_at"	89870
"33378_at"	25836
"39410_at"	8853
"39303_at"	8945
"39304_g_at"	8945
"39305_at"	8945
"39387_at"	22929
"31479_f_at"	1720
"35206_at"	11190
"31921_at"	26211
"31425_g_at"	26211
"40211_at"	NA
"33748_at"	23526
"41033_at"	7637
"41033_at"	100996464
"40471_at"	50717
"33361_at"	NA
"36680_at"	NA
"172_at"	3635
"32169_at"	23014
"38898_at"	23014
"32170_g_at"	23014
"34683_at"	10658
"33207_at"	10658
"34363_at"	6414
"39970_at"	190
"39626_s_at"	642559
"32788_at"	5903
"148_at"	NA
"34089_at"	22997
"34089_at"	646543
"36509_at"	5286
"31481_s_at"	9168
"34804_at"	55186
"38824_at"	10553
"36894_at"	23492
"34459_at"	10443
"39197_s_at"	10443
"33827_at"	10443
"38022_s_at"	5339
"38021_at"	5339
"41151_at"	51763
"1660_at"	NA
"161_at"	9366
"39432_at"	8702
"35584_s_at"	778
"36280_at"	3003
"38946_at"	5475
"35444_at"	126353
"41128_at"	NA
"34187_at"	NA
"32698_at"	56971
"37588_s_at"	23542
"1096_g_at"	930
"1573_at"	5155
"40262_at"	10929
"32038_s_at"	10929
"40455_at"	23052
"41864_at"	2054
"34052_at"	2054
"32611_at"	NA
"32921_at"	NA
"39287_at"	100131825
"1691_at"	26025
"657_at"	26025
"41316_s_at"	6294
"33116_f_at"	NA
"33921_at"	2542
"40912_s_at"	670
"39519_at"	23141
"34990_at"	26040
"33361_at"	26580
"40757_at"	3001
"36429_at"	NA
"726_f_at"	1444
"36784_at"	1444
"1861_at"	572
"40734_r_at"	4488
"40733_f_at"	4488
"32234_at"	1861
