"GSM862922_U87.1.CEL.gz"	"GSM862923_U87.2.CEL.gz"	"GSM862924_U87.3.CEL.gz"
"1552870_s_at"	"A"	"A"	"A"
"1552872_at"	"A"	"A"	"A"
"1552873_s_at"	"A"	"A"	"A"
"1552875_a_at"	"A"	"A"	"A"
"1552876_at"	"A"	"A"	"A"
"1552877_s_at"	"A"	"A"	"A"
"1552878_at"	"A"	"A"	"A"
"1552879_a_at"	"A"	"A"	"A"
"1552880_at"	"A"	"A"	"A"
"1552882_a_at"	"A"	"A"	"A"
"1552884_at"	"A"	"A"	"A"
"1552885_a_at"	"A"	"A"	"A"
"1552887_at"	"A"	"A"	"A"
"1552889_a_at"	"A"	"A"	"A"
"1552890_a_at"	"A"	"A"	"A"
"1552892_at"	"A"	"A"	"A"
"1552893_at"	"A"	"A"	"A"
"1552895_a_at"	"P"	"A"	"A"
"1552897_a_at"	"A"	"M"	"A"
"1552898_a_at"	"A"	"A"	"A"
"1552899_at"	"A"	"A"	"P"
"1552900_a_at"	"A"	"A"	"A"
"1552902_a_at"	"A"	"A"	"A"
"1552903_at"	"A"	"A"	"A"
"1552904_at"	"A"	"A"	"A"
"1552906_at"	"A"	"A"	"A"
"1552908_at"	"A"	"A"	"A"
"1552910_at"	"A"	"A"	"A"
"1552911_at"	"A"	"A"	"A"
"1552912_a_at"	"A"	"A"	"A"
"1552913_at"	"A"	"A"	"A"
"1552914_a_at"	"A"	"A"	"A"
"1552915_at"	"A"	"A"	"A"
"1552917_at"	"A"	"A"	"A"
"1552919_at"	"A"	"A"	"A"
"1552921_a_at"	"P"	"P"	"P"
"1552922_at"	"A"	"A"	"A"
"1552923_a_at"	"A"	"A"	"A"
"1552924_a_at"	"A"	"A"	"A"
"1552925_at"	"A"	"A"	"A"
"1552927_at"	"A"	"A"	"A"
"1552928_s_at"	"A"	"A"	"A"
"1552929_at"	"A"	"A"	"A"
"1552930_at"	"A"	"A"	"P"
"1552931_a_at"	"A"	"A"	"A"
"1552932_at"	"A"	"A"	"A"
"1552933_at"	"A"	"A"	"A"
"1552935_at"	"A"	"A"	"A"
"1552937_s_at"	"P"	"P"	"P"
"1552938_at"	"A"	"A"	"A"
"1552939_at"	"A"	"A"	"A"
"1552940_at"	"A"	"A"	"A"
"1552942_at"	"M"	"P"	"A"
"1552943_at"	"M"	"A"	"A"
"1552944_a_at"	"A"	"A"	"A"
"1552946_at"	"A"	"A"	"A"
"1552947_x_at"	"A"	"A"	"P"
"1552948_at"	"A"	"A"	"A"
"1552950_at"	"A"	"A"	"A"
"1552952_at"	"A"	"A"	"A"
"1552953_a_at"	"A"	"A"	"M"
"1552954_at"	"A"	"A"	"A"
"1552955_at"	"A"	"A"	"A"
"1552957_at"	"A"	"A"	"A"
"1552960_at"	"A"	"A"	"A"
"1552961_at"	"A"	"A"	"A"
"1552964_at"	"A"	"A"	"A"
"1552965_a_at"	"A"	"A"	"A"
"1552967_at"	"A"	"A"	"P"
"1552969_a_at"	"A"	"A"	"A"
"1552970_s_at"	"A"	"A"	"A"
"1552971_at"	"A"	"A"	"A"
"1552972_at"	"A"	"A"	"A"
"1552973_at"	"A"	"A"	"A"
"1552974_at"	"A"	"A"	"A"
"1552975_x_at"	"A"	"A"	"A"
"1552976_at"	"M"	"A"	"A"
"1552977_a_at"	"M"	"P"	"P"
"1552978_a_at"	"P"	"P"	"P"
"1552979_at"	"A"	"A"	"A"
"1552980_at"	"A"	"A"	"A"
"1552982_a_at"	"A"	"A"	"A"
"1552985_at"	"A"	"A"	"A"
"1552986_at"	"A"	"A"	"A"
"1552987_a_at"	"A"	"A"	"A"
"1552988_at"	"A"	"A"	"A"
"1552990_at"	"A"	"A"	"A"
"1552991_at"	"A"	"A"	"M"
"1552993_at"	"A"	"A"	"A"
"1552995_at"	"A"	"A"	"A"
"1552997_a_at"	"A"	"A"	"A"
"1552998_at"	"A"	"A"	"A"
"1552999_a_at"	"A"	"A"	"A"
"1553002_at"	"A"	"A"	"A"
"1553003_at"	"A"	"A"	"A"
"1553004_at"	"A"	"A"	"A"
"1553006_at"	"A"	"A"	"A"
"1553007_a_at"	"A"	"A"	"A"
"1553009_s_at"	"A"	"A"	"A"
"1553011_at"	"A"	"A"	"M"
"1553013_at"	"A"	"A"	"A"
"1553015_a_at"	"P"	"P"	"P"
"1553016_at"	"A"	"A"	"A"
"1553019_at"	"A"	"A"	"A"
"1553020_at"	"A"	"A"	"A"
"1553021_s_at"	"A"	"A"	"A"
"1553022_at"	"A"	"A"	"A"
"1553023_a_at"	"A"	"A"	"A"
"1553024_at"	"A"	"A"	"A"
"1553025_at"	"A"	"A"	"A"
"1553027_a_at"	"A"	"A"	"A"
"1553028_at"	"A"	"A"	"A"
"1553030_a_at"	"A"	"A"	"A"
"1553031_at"	"A"	"A"	"M"
"1553032_at"	"A"	"A"	"A"
"1553033_at"	"A"	"A"	"A"
"1553034_at"	"P"	"A"	"M"
"1553036_at"	"A"	"A"	"A"
"1553037_a_at"	"A"	"A"	"A"
