"GSM34592.CEL.gz"	"GSM34593.CEL.gz"	"GSM34594.CEL.gz"
"1420_s_at"	"P"	"P"	"P"
"1421_at"	"P"	"P"	"P"
"1422_g_at"	"P"	"P"	"P"
"1423_at"	"P"	"P"	"P"
"1424_s_at"	"P"	"P"	"P"
"1425_at"	"A"	"A"	"A"
"1426_at"	"A"	"P"	"A"
"1427_g_at"	"A"	"A"	"P"
"1428_at"	"A"	"A"	"A"
"143_s_at"	"P"	"P"	"P"
"1430_at"	"A"	"A"	"A"
"1431_at"	"A"	"P"	"A"
"1432_s_at"	"A"	"A"	"A"
"1433_g_at"	"P"	"M"	"P"
"1434_at"	"P"	"P"	"P"
"1435_f_at"	"A"	"A"	"A"
"1436_at"	"A"	"A"	"A"
"1437_at"	"P"	"P"	"P"
"1438_at"	"A"	"A"	"A"
"1439_s_at"	"P"	"P"	"P"
"144_at"	"P"	"A"	"P"
"1440_s_at"	"P"	"P"	"P"
"1441_s_at"	"P"	"P"	"P"
"1442_at"	"M"	"P"	"A"
"1443_at"	"A"	"A"	"A"
"1444_at"	"P"	"P"	"P"
"1445_at"	"P"	"P"	"P"
"1446_at"	"P"	"P"	"P"
"1447_at"	"P"	"P"	"P"
"1448_at"	"P"	"P"	"P"
"1449_at"	"P"	"P"	"P"
"145_s_at"	"M"	"A"	"A"
"1450_g_at"	"P"	"P"	"P"
"1451_s_at"	"A"	"A"	"A"
"1452_at"	"P"	"P"	"P"
"1453_at"	"P"	"P"	"P"
"1454_at"	"A"	"A"	"M"
"1455_f_at"	"A"	"M"	"A"
"1456_s_at"	"P"	"P"	"P"
"1457_at"	"P"	"P"	"P"
"1458_at"	"A"	"A"	"A"
"1459_at"	"P"	"A"	"P"
"146_at"	"P"	"P"	"P"
"1460_g_at"	"P"	"P"	"P"
"1461_at"	"P"	"P"	"P"
"1462_s_at"	"A"	"A"	"A"
"1463_at"	"P"	"P"	"P"
"1464_at"	"A"	"A"	"A"
"1465_s_at"	"P"	"M"	"A"
"1466_s_at"	"P"	"P"	"A"
"1467_at"	"P"	"P"	"P"
"1468_at"	"P"	"P"	"P"
"1469_at"	"A"	"A"	"A"
"147_at"	"P"	"P"	"P"
"1470_at"	"P"	"P"	"P"
"1471_at"	"A"	"A"	"A"
"1472_g_at"	"A"	"A"	"A"
"1473_s_at"	"A"	"A"	"A"
"1474_s_at"	"A"	"A"	"P"
"1475_s_at"	"A"	"A"	"A"
"1476_s_at"	"A"	"A"	"A"
"1477_s_at"	"A"	"A"	"A"
"1478_at"	"P"	"P"	"P"
"1479_g_at"	"P"	"P"	"P"
"148_at"	"P"	"P"	"P"
"1480_at"	"P"	"P"	"P"
"1481_at"	"P"	"P"	"P"
"1482_g_at"	"P"	"P"	"A"
"1483_at"	"A"	"P"	"M"
"1484_at"	"A"	"A"	"A"
"1485_at"	"A"	"A"	"A"
"1486_at"	"P"	"P"	"P"
"1487_at"	"P"	"P"	"P"
"1488_at"	"P"	"P"	"P"
"1489_s_at"	"A"	"A"	"A"
"149_at"	"P"	"P"	"P"
"1490_at"	"A"	"A"	"A"
"1491_at"	"P"	"P"	"P"
"1492_f_at"	"A"	"A"	"A"
"1493_r_at"	"A"	"A"	"A"
"1494_f_at"	"P"	"P"	"A"
"1495_at"	"P"	"P"	"P"
"1496_at"	"P"	"P"	"P"
"1497_at"	"A"	"A"	"A"
"1498_at"	"A"	"A"	"A"
"1499_at"	"P"	"P"	"P"
"150_at"	"A"	"A"	"A"
"1500_at"	"P"	"P"	"M"
"1501_at"	"A"	"A"	"A"
"1503_at"	"P"	"P"	"P"
"1504_s_at"	"A"	"A"	"A"
"1505_at"	"P"	"P"	"P"
"1506_at"	"A"	"A"	"A"
"1507_s_at"	"P"	"P"	"P"
"1508_at"	"A"	"A"	"A"
"1509_at"	"A"	"A"	"A"
"151_s_at"	"P"	"P"	"P"
"1510_g_at"	"A"	"A"	"A"
"1511_at"	"A"	"A"	"A"
"1512_at"	"P"	"P"	"P"
"1513_at"	"A"	"A"	"A"
"1514_g_at"	"A"	"A"	"A"
"1515_at"	"P"	"P"	"P"
"1516_g_at"	"P"	"P"	"P"
"1517_at"	"A"	"A"	"A"
"1518_at"	"A"	"A"	"A"
"1519_at"	"P"	"P"	"P"
"152_f_at"	"A"	"A"	"A"
"1520_s_at"	"P"	"P"	"P"
"1521_at"	"P"	"P"	"P"
"1522_at"	"A"	"A"	"A"
"1523_g_at"	"A"	"A"	"A"
"1524_at"	"P"	"P"	"P"
"1525_s_at"	"A"	"A"	"A"
"1526_i_at"	"A"	"A"	"A"
"1527_s_at"	"A"	"A"	"A"
"1528_at"	"A"	"A"	"A"
"1529_at"	"M"	"P"	"P"
"153_f_at"	"A"	"A"	"M"
"1530_g_at"	"A"	"A"	"A"
"1531_at"	"A"	"A"	"P"
"1532_g_at"	"P"	"P"	"P"
"1533_at"	"P"	"A"	"A"
"1534_at"	"A"	"A"	"A"
"1535_at"	"A"	"A"	"A"
"1536_at"	"P"	"P"	"P"
"1537_at"	"P"	"P"	"P"
"1538_s_at"	"A"	"A"	"A"
"1539_at"	"P"	"P"	"P"
"154_at"	"A"	"A"	"A"
"1540_f_at"	"A"	"A"	"A"
"1541_f_at"	"A"	"A"	"A"
"1542_at"	"A"	"M"	"P"
"1543_at"	"A"	"A"	"A"
"1544_at"	"P"	"P"	"P"
"1545_g_at"	"A"	"A"	"A"
"1546_at"	"A"	"A"	"A"
"1547_at"	"A"	"A"	"A"
"1548_s_at"	"A"	"A"	"A"
"1549_s_at"	"P"	"P"	"A"
"155_s_at"	"P"	"P"	"P"
"1550_at"	"P"	"P"	"P"
"1551_g_at"	"P"	"P"	"P"
"1552_i_at"	"A"	"A"	"A"
"1553_r_at"	"A"	"A"	"A"
"1554_f_at"	"A"	"A"	"A"
"1555_f_at"	"A"	"A"	"A"
"1556_at"	"P"	"P"	"P"
"1557_at"	"P"	"P"	"M"
"1558_g_at"	"P"	"P"	"P"
"1559_at"	"A"	"A"	"A"
"156_s_at"	"P"	"P"	"P"
"1560_g_at"	"P"	"P"	"P"
"1561_at"	"A"	"A"	"A"
"1562_g_at"	"A"	"A"	"A"
"1563_s_at"	"P"	"P"	"P"
"1564_at"	"P"	"P"	"P"
"1565_s_at"	"P"	"P"	"P"
"1566_at"	"A"	"A"	"A"
"1567_at"	"A"	"A"	"A"
"1568_s_at"	"P"	"P"	"P"
"1569_r_at"	"A"	"A"	"A"
"157_at"	"A"	"A"	"A"
"1570_f_at"	"A"	"A"	"A"
"1571_f_at"	"P"	"P"	"P"
"1572_s_at"	"A"	"A"	"A"
"1573_at"	"A"	"A"	"A"
"1574_s_at"	"P"	"M"	"A"
"1575_at"	"A"	"A"	"A"
"1576_g_at"	"A"	"A"	"A"
"1577_at"	"A"	"A"	"A"
"1578_g_at"	"A"	"A"	"M"
"1579_at"	"A"	"A"	"A"
"158_at"	"P"	"P"	"P"
"1580_f_at"	"A"	"A"	"A"
"1581_s_at"	"P"	"P"	"P"
"1582_at"	"A"	"A"	"A"
"1583_at"	"P"	"P"	"P"
"1584_at"	"P"	"P"	"P"
"1585_at"	"A"	"A"	"A"
"1586_at"	"P"	"P"	"P"
"1587_at"	"P"	"M"	"P"
"1588_at"	"A"	"A"	"A"
"1589_s_at"	"P"	"P"	"P"
"159_at"	"P"	"P"	"P"
"1590_s_at"	"P"	"P"	"P"
"1591_s_at"	"A"	"A"	"A"
"1592_at"	"P"	"P"	"P"
"1593_at"	"P"	"P"	"P"
"1594_at"	"P"	"P"	"P"
"1595_at"	"A"	"A"	"A"
"1596_g_at"	"A"	"P"	"P"
"1597_at"	"A"	"A"	"A"
"1598_g_at"	"P"	"P"	"P"
"1599_at"	"P"	"P"	"P"
"160_at"	"P"	"P"	"P"
"1600_at"	"A"	"A"	"A"
"160020_at"	"P"	"P"	"P"
"160021_r_at"	"A"	"A"	"A"
"160022_at"	"P"	"P"	"P"
"160023_at"	"A"	"P"	"M"
"160024_at"	"A"	"A"	"A"
"160025_at"	"P"	"P"	"P"
"160026_at"	"A"	"A"	"A"
"160027_s_at"	"P"	"P"	"P"
"160028_s_at"	"A"	"M"	"A"
"160029_at"	"A"	"A"	"A"
"160030_at"	"P"	"P"	"P"
"160031_at"	"A"	"A"	"A"
"160032_at"	"P"	"P"	"P"
"160033_s_at"	"P"	"P"	"P"
"160034_s_at"	"A"	"A"	"A"
"160035_at"	"A"	"A"	"A"
"160036_at"	"A"	"A"	"A"
"160037_at"	"A"	"A"	"A"
"160038_s_at"	"A"	"A"	"A"
"160039_at"	"A"	"A"	"A"
"160040_at"	"A"	"A"	"A"
"160041_at"	"A"	"A"	"A"
"160042_s_at"	"P"	"P"	"P"
"160043_at"	"P"	"P"	"P"
"160044_g_at"	"P"	"P"	"P"
"1601_s_at"	"A"	"A"	"A"
"1602_at"	"P"	"P"	"P"
"1603_g_at"	"P"	"P"	"P"
"1604_at"	"A"	"A"	"A"
"1605_g_at"	"A"	"A"	"A"
"1606_at"	"A"	"A"	"A"
"1607_at"	"A"	"A"	"A"
"1608_at"	"A"	"A"	"A"
"1609_g_at"	"P"	"P"	"P"
"161_at"	"A"	"A"	"A"
"1610_s_at"	"P"	"P"	"P"
"1611_s_at"	"A"	"A"	"A"
"1612_s_at"	"P"	"P"	"P"
"1613_s_at"	"P"	"P"	"P"
"1614_s_at"	"A"	"A"	"A"
"1615_at"	"P"	"P"	"P"
"1616_at"	"P"	"A"	"P"
"1617_at"	"A"	"A"	"A"
"1618_at"	"A"	"A"	"A"
"1619_g_at"	"A"	"A"	"A"
"162_at"	"P"	"P"	"P"
"1620_at"	"A"	"A"	"A"
"1621_at"	"A"	"A"	"A"
"1622_at"	"P"	"P"	"P"
"1623_s_at"	"P"	"A"	"M"
"1624_at"	"P"	"P"	"P"
