"affy_hg_u133_plus_2"	"entrezgene"
"201562_s_at"	NA
"229451_at"	50614
"1560717_at"	NA
"216562_at"	NA
"232867_at"	NA
"1564909_at"	NA
"210216_x_at"	5810
"235253_at"	5810
"228535_at"	5810
"204461_x_at"	5810
"204460_s_at"	5810
"231220_at"	56853
"238966_at"	56853
"223654_s_at"	56853
"223653_x_at"	56853
"205706_s_at"	22852
"205705_at"	22852
"229731_at"	2307
"233878_s_at"	22803
"223002_s_at"	22803
"212059_s_at"	26133
"226623_at"	84457
"1555935_s_at"	30811
"219535_at"	30811
"209789_at"	10391
"1569670_at"	NA
"243336_at"	101059939
"217392_at"	NA
"203776_at"	27238
"242723_at"	NA
"214706_at"	7752
"207338_s_at"	7752
"1556909_at"	100505853
"222962_s_at"	55388
"223570_at"	55388
"220651_s_at"	55388
"1561277_at"	339298
"218666_s_at"	55014
"222708_s_at"	55014
"1556899_at"	100505758
"224458_at"	84302
"213386_at"	84302
"234829_at"	128853
"230402_at"	128853
"231138_at"	NA
"203214_x_at"	983
"210559_s_at"	983
"203213_at"	983
"204576_s_at"	23059
"235080_at"	23059
"204577_s_at"	23059
"244564_at"	NA
"213733_at"	4542
"1558128_at"	NA
"205612_at"	22915
"1562038_at"	NA
"243721_at"	NA
"1556749_at"	NA
"1561891_at"	NA
"227611_at"	123283
"244615_x_at"	123283
"204307_at"	NA
"202541_at"	9255
"227605_at"	9255
"202542_s_at"	9255
"200012_x_at"	NA
"205061_s_at"	5393
"212529_at"	NA
"203450_at"	25776
"1553863_at"	57705
"229597_s_at"	57705
"232804_at"	100506385
"222149_x_at"	390535
"222149_x_at"	100132979
"203659_s_at"	10206
"240288_at"	10206
"239098_at"	10206
"229943_at"	10206
"230192_at"	10206
"207392_x_at"	7366
"231385_at"	NA
"222196_at"	NA
"59433_at"	NA
"238717_at"	NA
"1558046_x_at"	NA
"1558045_a_at"	NA
"1569629_x_at"	NA
"1564232_at"	NA
"231354_at"	NA
"222683_at"	56254
"207965_at"	50674
"222196_at"	100506453
"59433_at"	100506453
"238717_at"	100506453
"1558046_x_at"	100506453
"1558045_a_at"	100506453
