"GSM530551.CEL.gz"	"GSM530552.CEL.gz"
"1552788_a_at"	"A"	"A"
"1552789_at"	"P"	"P"
"1552790_a_at"	"P"	"P"
"1552791_a_at"	"A"	"A"
"1552792_at"	"P"	"P"
"1552793_at"	"A"	"A"
"1552794_a_at"	"A"	"A"
"1552796_a_at"	"A"	"A"
"1552797_s_at"	"A"	"A"
"1552798_a_at"	"A"	"A"
"1552799_at"	"A"	"A"
"1552800_at"	"A"	"A"
"1552801_at"	"A"	"A"
"1552803_a_at"	"A"	"A"
"1552804_a_at"	"A"	"A"
"1552806_a_at"	"A"	"A"
"1552807_a_at"	"A"	"A"
"1552808_at"	"A"	"A"
"1552809_at"	"A"	"A"
"1552811_at"	"A"	"A"
"1552812_a_at"	"P"	"P"
"1552813_at"	"A"	"A"
"1552814_a_at"	"A"	"A"
"1552816_at"	"A"	"A"
"1552818_a_at"	"A"	"A"
"1552819_at"	"A"	"A"
"1552822_at"	"P"	"P"
"1552825_at"	"A"	"A"
"1552826_at"	"A"	"A"
"1552827_s_at"	"A"	"A"
"1552828_at"	"A"	"A"
"1552829_at"	"A"	"A"
"1552830_at"	"A"	"A"
"1552833_at"	"A"	"A"
"1552834_at"	"A"	"A"
"1552835_at"	"A"	"A"
"1552836_at"	"A"	"A"
"1552837_at"	"A"	"A"
"1552839_at"	"A"	"A"
"1552841_s_at"	"A"	"A"
"1552842_at"	"A"	"A"
"1552843_at"	"A"	"A"
"1552845_at"	"A"	"A"
"1552846_s_at"	"A"	"A"
"1552848_a_at"	"A"	"A"
"1552849_at"	"A"	"A"
"1552851_at"	"A"	"A"
"1552852_a_at"	"A"	"A"
"1552853_at"	"A"	"A"
"1552854_a_at"	"A"	"A"
"1552856_at"	"A"	"A"
"1552857_a_at"	"A"	"A"
"1552858_at"	"A"	"A"
"1552860_at"	"A"	"A"
"1552862_at"	"A"	"A"
"1552863_a_at"	"M"	"P"
"1552865_a_at"	"A"	"A"
"1552867_at"	"A"	"P"
"1552868_at"	"A"	"A"
"1552870_s_at"	"A"	"A"
"1552872_at"	"A"	"A"
"1552873_s_at"	"A"	"A"
"1552875_a_at"	"A"	"A"
"1552876_at"	"A"	"M"
"1552877_s_at"	"A"	"A"
"1552878_at"	"A"	"A"
"1552879_a_at"	"A"	"A"
"1552880_at"	"A"	"A"
"1552882_a_at"	"A"	"A"
"1552884_at"	"A"	"A"
"1552885_a_at"	"A"	"A"
"1552887_at"	"A"	"A"
"1552889_a_at"	"M"	"A"
"1552890_a_at"	"A"	"A"
"1552892_at"	"A"	"A"
"1552893_at"	"A"	"A"
"1552895_a_at"	"A"	"A"
"1552897_a_at"	"A"	"A"
"1552898_a_at"	"A"	"A"
"1552899_at"	"A"	"A"
"1552900_a_at"	"A"	"A"
"1552902_a_at"	"A"	"A"
"1552903_at"	"A"	"A"
"1552904_at"	"A"	"A"
"1552906_at"	"A"	"A"
"1552908_at"	"A"	"A"
"1552910_at"	"A"	"A"
"1552911_at"	"A"	"A"
"1552912_a_at"	"A"	"A"
"1552913_at"	"A"	"A"
"1552914_a_at"	"A"	"A"
"1552915_at"	"A"	"A"
"1552917_at"	"A"	"A"
"1552919_at"	"A"	"A"
"1552921_a_at"	"P"	"P"
"1552922_at"	"A"	"A"
"1552923_a_at"	"A"	"A"
"1552924_a_at"	"A"	"A"
"1552925_at"	"A"	"A"
"1552927_at"	"P"	"P"
"1552928_s_at"	"P"	"P"
"1552929_at"	"A"	"A"
"1552930_at"	"M"	"P"
"1552931_a_at"	"P"	"P"
"1552932_at"	"A"	"A"
"1552933_at"	"A"	"A"
"1552935_at"	"P"	"M"
"1552937_s_at"	"P"	"P"
"1552938_at"	"A"	"A"
"1552939_at"	"A"	"A"
"1552940_at"	"A"	"A"
"1552942_at"	"A"	"A"
"1552943_at"	"A"	"A"
"1552944_a_at"	"A"	"A"
"1552946_at"	"A"	"A"
"1552947_x_at"	"A"	"A"
"1552948_at"	"A"	"A"
"1552950_at"	"A"	"A"
"1552952_at"	"A"	"A"
"1552953_a_at"	"A"	"A"
"1552954_at"	"A"	"P"
"1552955_at"	"A"	"A"
"1552957_at"	"A"	"A"
"1552960_at"	"A"	"P"
"1552961_at"	"A"	"A"
"1552964_at"	"A"	"A"
"1552965_a_at"	"A"	"A"
"1552967_at"	"A"	"A"
"1552969_a_at"	"A"	"P"
"1552970_s_at"	"P"	"P"
"1552971_at"	"A"	"A"
"1552972_at"	"A"	"A"
"1552973_at"	"A"	"A"
"1552974_at"	"A"	"A"
"1552975_x_at"	"A"	"A"
"1552976_at"	"A"	"A"
"1552977_a_at"	"P"	"P"
"1552978_a_at"	"P"	"P"
"1552979_at"	"A"	"A"
"1552980_at"	"A"	"A"
"1552982_a_at"	"A"	"A"
"1552985_at"	"A"	"A"
"1552986_at"	"A"	"A"
"1552987_a_at"	"A"	"A"
"1552988_at"	"A"	"A"
"1552990_at"	"A"	"A"
"1552991_at"	"A"	"A"
"1552993_at"	"A"	"A"
"1552995_at"	"A"	"A"
"1552997_a_at"	"A"	"A"
"1552998_at"	"A"	"A"
"1552999_a_at"	"A"	"A"
"1553002_at"	"A"	"A"
"1553003_at"	"A"	"A"
"1553004_at"	"A"	"A"
"1553006_at"	"A"	"A"
"1553007_a_at"	"A"	"A"
"1553009_s_at"	"A"	"A"
"1553011_at"	"A"	"M"
"1553013_at"	"A"	"A"
"1553015_a_at"	"P"	"P"
"1553016_at"	"A"	"A"
"1553019_at"	"A"	"A"
"1553020_at"	"A"	"A"
"1553021_s_at"	"P"	"P"
"1553022_at"	"A"	"A"
"1553023_a_at"	"A"	"A"
"1553024_at"	"A"	"A"
"1553025_at"	"A"	"A"
"1553027_a_at"	"A"	"A"
"1553028_at"	"A"	"A"
"1553030_a_at"	"P"	"P"
"1553031_at"	"P"	"P"
"1553032_at"	"A"	"A"
"1553033_at"	"A"	"A"
"1553034_at"	"P"	"P"
"1553036_at"	"A"	"A"
"1553037_a_at"	"A"	"A"
"1553039_a_at"	"A"	"A"
"1553041_at"	"A"	"A"
"1553042_a_at"	"A"	"A"
"1553043_a_at"	"A"	"A"
"1553044_at"	"A"	"A"
"1553045_at"	"A"	"A"
"1553046_s_at"	"A"	"A"
"1553047_at"	"A"	"A"
"1553048_a_at"	"P"	"P"
"1553051_s_at"	"A"	"A"
"1553052_at"	"A"	"A"
"1553053_at"	"A"	"A"
"1553055_a_at"	"P"	"P"
"1553057_at"	"A"	"A"
"1553058_at"	"A"	"A"
"1553059_at"	"A"	"A"
"1553060_at"	"A"	"A"
"1553061_at"	"A"	"A"
"1553062_at"	"A"	"A"
"1553063_at"	"A"	"A"
"1553064_at"	"A"	"A"
"1553066_at"	"A"	"A"
"1553067_a_at"	"A"	"A"
"1553069_at"	"A"	"A"
"1553070_a_at"	"M"	"A"
"1553071_a_at"	"A"	"A"
"1553072_at"	"A"	"A"
"1553074_at"	"A"	"A"
"1553075_a_at"	"A"	"A"
"1553076_at"	"A"	"A"
"1553077_at"	"A"	"A"
"1553078_at"	"A"	"A"
"1553079_at"	"A"	"A"
"1553080_at"	"A"	"A"
"1553081_at"	"A"	"A"
"1553082_at"	"A"	"A"
"1553083_at"	"A"	"A"
"1553084_at"	"A"	"A"
"1553086_at"	"A"	"A"
"1553087_at"	"A"	"A"
"1553088_a_at"	"P"	"P"
"1553089_a_at"	"A"	"A"
"1553093_a_at"	"A"	"A"
"1553094_at"	"A"	"A"
"1553096_s_at"	"P"	"P"
"1553099_at"	"P"	"P"
"1553101_a_at"	"P"	"P"
"1553102_a_at"	"A"	"A"
"1553103_at"	"P"	"P"
"1553105_s_at"	"P"	"P"
"1553106_at"	"P"	"P"
"1553107_s_at"	"P"	"P"
"1553108_at"	"P"	"P"
"1553111_a_at"	"P"	"P"
"1553112_s_at"	"P"	"P"
"1553113_s_at"	"P"	"P"
"1553114_a_at"	"A"	"A"
"1553115_at"	"A"	"A"
"1553117_a_at"	"P"	"P"
"1553118_at"	"P"	"P"
"1553120_at"	"P"	"P"
"1553122_s_at"	"P"	"P"
"1553123_at"	"A"	"A"
"1553125_x_at"	"A"	"A"
"1553126_a_at"	"A"	"A"
"1553127_a_at"	"A"	"A"
"1553129_at"	"A"	"A"
"1553130_at"	"A"	"A"
"1553131_a_at"	"A"	"A"
"1553132_a_at"	"A"	"A"
"1553133_at"	"P"	"P"
"1553134_s_at"	"P"	"P"
"1553136_at"	"A"	"A"
"1553137_s_at"	"M"	"P"
"1553138_a_at"	"A"	"A"
"1553139_s_at"	"P"	"A"
"1553140_at"	"A"	"A"
"1553141_at"	"P"	"P"
"1553142_at"	"P"	"P"
"1553145_at"	"A"	"A"
"1553146_at"	"A"	"A"
"1553147_at"	"A"	"A"
"1553148_a_at"	"P"	"P"
"1553150_at"	"A"	"A"
"1553151_at"	"P"	"P"
"1553153_at"	"P"	"P"
"1553155_x_at"	"P"	"P"
"1553156_at"	"A"	"A"
"1553157_at"	"A"	"A"
"1553158_at"	"P"	"P"
"1553159_at"	"A"	"A"
"1553162_x_at"	"P"	"P"
"1553163_at"	"A"	"A"
"1553165_at"	"A"	"M"
"1553166_at"	"A"	"P"
"1553167_a_at"	"P"	"P"
"1553168_at"	"A"	"A"
"1553169_at"	"A"	"A"
"1553171_x_at"	"A"	"A"
"1553172_at"	"P"	"P"
"1553174_at"	"A"	"A"
"1553175_s_at"	"A"	"A"
"1553176_at"	"A"	"A"
"1553177_at"	"A"	"A"
"1553178_a_at"	"A"	"A"
"1553179_at"	"A"	"A"
"1553180_at"	"A"	"A"
"1553181_at"	"P"	"P"
"1553183_at"	"A"	"A"
"1553185_at"	"P"	"P"
"1553186_x_at"	"P"	"P"
"1553188_s_at"	"A"	"A"
"1553190_s_at"	"A"	"A"
"1553191_at"	"A"	"A"
"1553192_at"	"A"	"A"
"1553193_at"	"A"	"A"
"1553194_at"	"P"	"P"
"1553196_a_at"	"A"	"A"
"1553197_at"	"A"	"A"
"1553199_at"	"A"	"A"
"1553202_at"	"A"	"A"
"1553204_at"	"A"	"A"
"1553205_at"	"A"	"A"
"1553207_at"	"A"	"A"
"1553208_s_at"	"A"	"A"
"1553209_at"	"A"	"A"
"1553211_at"	"A"	"A"
"1553212_at"	"P"	"P"
"1553213_a_at"	"A"	"A"
"1553214_a_at"	"A"	"A"
"1553215_s_at"	"A"	"A"
"1553216_at"	"M"	"P"
"1553217_s_at"	"P"	"P"
"1553218_a_at"	"P"	"P"
"1553219_a_at"	"P"	"P"
"1553220_at"	"A"	"P"
"1553221_at"	"A"	"A"
"1553222_at"	"A"	"A"
"1553224_at"	"A"	"A"
"1553225_s_at"	"P"	"P"
"1553226_at"	"A"	"A"
"1553227_s_at"	"P"	"P"
"1553228_at"	"A"	"A"
"1553229_at"	"A"	"A"
"1553232_at"	"A"	"A"
"1553234_at"	"A"	"A"
"1553235_at"	"A"	"A"
"1553237_x_at"	"A"	"A"
"1553238_a_at"	"A"	"A"
"1553239_at"	"A"	"A"
"1553241_at"	"A"	"A"
"1553243_at"	"A"	"A"
"1553244_at"	"A"	"M"
"1553246_a_at"	"A"	"A"
"1553247_a_at"	"A"	"A"
"1553248_at"	"A"	"A"
"1553249_at"	"A"	"A"
"1553252_a_at"	"A"	"M"
"1553253_at"	"A"	"A"
"1553254_at"	"A"	"A"
"1553255_at"	"A"	"A"
"1553257_at"	"A"	"A"
"1553258_at"	"A"	"A"
"1553260_s_at"	"A"	"A"
"1553261_x_at"	"A"	"A"
"1553262_a_at"	"A"	"A"
"1553263_at"	"A"	"A"
"1553264_a_at"	"A"	"A"
"1553265_at"	"A"	"A"
"1553266_at"	"A"	"A"
"1553267_a_at"	"A"	"A"
"1553268_at"	"A"	"A"
"1553269_at"	"A"	"A"
"1553271_at"	"A"	"A"
"1553272_at"	"A"	"A"
"1553274_a_at"	"P"	"P"
"1553275_s_at"	"A"	"A"
"1553276_at"	"A"	"A"
"1553277_at"	"M"	"A"
"1553279_at"	"A"	"A"
"1553280_at"	"A"	"M"
"1553281_at"	"A"	"A"
"1553282_at"	"A"	"A"
"1553284_s_at"	"P"	"P"
"1553285_s_at"	"A"	"A"
"1553286_at"	"P"	"P"
"1553288_a_at"	"A"	"A"
"1553292_s_at"	"A"	"A"
"1553293_at"	"A"	"A"
"1553295_at"	"A"	"A"
"1553296_at"	"A"	"A"
"1553297_a_at"	"A"	"A"
"1553298_at"	"M"	"A"
"1553299_at"	"A"	"A"
"1553300_a_at"	"A"	"A"
"1553301_a_at"	"A"	"P"
"1553303_at"	"A"	"A"
"1553304_at"	"P"	"P"
"1553306_at"	"A"	"A"
"1553310_at"	"A"	"A"
"1553311_at"	"A"	"A"
"1553313_s_at"	"P"	"P"
"1553314_a_at"	"A"	"A"
"1553315_at"	"A"	"A"
"1553316_at"	"A"	"A"
"1553317_s_at"	"A"	"A"
"1553318_at"	"A"	"A"
"1553319_at"	"A"	"A"
"1553320_s_at"	"A"	"A"
"1553321_a_at"	"A"	"A"
"1553322_s_at"	"P"	"P"
"1553323_a_at"	"A"	"A"
"1553325_at"	"A"	"A"
"1553326_at"	"A"	"A"
"1553327_a_at"	"A"	"A"
"1553328_a_at"	"A"	"A"
"1553329_at"	"A"	"A"
"1553330_at"	"A"	"A"
"1553333_at"	"A"	"A"
"1553335_x_at"	"A"	"A"
"1553336_a_at"	"A"	"A"
"1553338_at"	"P"	"P"
"1553340_s_at"	"A"	"A"
"1553341_at"	"A"	"A"
"1553344_at"	"A"	"A"
"1553346_a_at"	"M"	"P"
"1553347_s_at"	"A"	"A"
"1553348_a_at"	"P"	"P"
"1553349_at"	"A"	"A"
"1553350_at"	"A"	"A"
"1553351_at"	"A"	"A"
"1553352_x_at"	"A"	"A"
"1553354_a_at"	"P"	"P"
"1553355_at"	"A"	"A"
"1553356_at"	"A"	"A"
"1553357_at"	"A"	"A"
"1553359_at"	"A"	"A"
"1553361_x_at"	"A"	"A"
"1553362_at"	"A"	"A"
"1553363_at"	"A"	"A"
"1553364_at"	"A"	"A"
"1553365_at"	"A"	"A"
"1553366_s_at"	"A"	"A"
"1553367_a_at"	"A"	"A"
"1553369_at"	"A"	"A"
"1553371_at"	"A"	"A"
"1553372_at"	"A"	"A"
"1553373_at"	"A"	"A"
"1553374_at"	"A"	"A"
"1553375_at"	"A"	"A"
"1553376_a_at"	"A"	"A"
"1553378_a_at"	"A"	"A"
"1553380_at"	"A"	"A"
"1553383_at"	"A"	"A"
"1553385_at"	"A"	"A"
"1553386_at"	"A"	"A"
"1553387_at"	"A"	"A"
"1553388_at"	"A"	"A"
"1553389_at"	"A"	"A"
"1553390_at"	"A"	"A"
"1553391_at"	"A"	"A"
"1553392_at"	"A"	"A"
"1553394_a_at"	"A"	"A"
"1553395_a_at"	"A"	"A"
"1553396_a_at"	"A"	"A"
"1553397_at"	"A"	"A"
"1553398_at"	"A"	"A"
"1553399_a_at"	"A"	"A"
