"GSM556748.CEL.gz"	"GSM556750.CEL.gz"	"GSM556751.CEL.gz"
"200858_s_at"	"P"	"P"	"P"
"200859_x_at"	"P"	"P"	"P"
"200860_s_at"	"P"	"P"	"P"
"200861_at"	"P"	"P"	"P"
"200862_at"	"P"	"P"	"P"
"200863_s_at"	"P"	"P"	"P"
"200864_s_at"	"P"	"P"	"P"
"200865_at"	"A"	"A"	"A"
"200866_s_at"	"P"	"P"	"P"
"200867_at"	"P"	"P"	"P"
"200868_s_at"	"P"	"P"	"P"
"200869_at"	"P"	"P"	"P"
"200870_at"	"P"	"P"	"P"
"200871_s_at"	"P"	"P"	"P"
"200872_at"	"P"	"P"	"P"
"200873_s_at"	"P"	"P"	"P"
"200874_s_at"	"P"	"P"	"P"
"200875_s_at"	"P"	"P"	"P"
"200876_s_at"	"P"	"P"	"P"
"200877_at"	"P"	"P"	"P"
"200878_at"	"P"	"P"	"P"
"200879_s_at"	"P"	"P"	"P"
"200880_at"	"P"	"P"	"P"
"200881_s_at"	"P"	"P"	"P"
"200882_s_at"	"P"	"P"	"P"
"200883_at"	"P"	"P"	"P"
"200884_at"	"M"	"P"	"P"
"200885_at"	"P"	"P"	"P"
"200886_s_at"	"P"	"P"	"P"
"200887_s_at"	"P"	"P"	"P"
"200888_s_at"	"P"	"P"	"P"
"200889_s_at"	"P"	"P"	"P"
"200890_s_at"	"P"	"P"	"P"
"200891_s_at"	"P"	"P"	"P"
"200892_s_at"	"P"	"P"	"P"
"200893_at"	"P"	"P"	"P"
"200894_s_at"	"P"	"P"	"P"
"200895_s_at"	"P"	"P"	"P"
"200896_x_at"	"P"	"P"	"P"
"200897_s_at"	"P"	"P"	"P"
"200898_s_at"	"P"	"P"	"P"
"200899_s_at"	"P"	"P"	"P"
"200900_s_at"	"P"	"P"	"P"
"200901_s_at"	"P"	"P"	"P"
"200902_at"	"P"	"P"	"P"
"200903_s_at"	"P"	"P"	"P"
"200904_at"	"P"	"P"	"P"
"200905_x_at"	"P"	"P"	"P"
"200906_s_at"	"P"	"P"	"P"
"200907_s_at"	"P"	"P"	"P"
"200908_s_at"	"A"	"A"	"A"
"200909_s_at"	"P"	"P"	"P"
"200910_at"	"P"	"P"	"P"
"200911_s_at"	"P"	"P"	"P"
"200912_s_at"	"P"	"P"	"P"
"200913_at"	"P"	"P"	"P"
"200914_x_at"	"P"	"P"	"P"
"200915_x_at"	"P"	"P"	"P"
"200916_at"	"P"	"P"	"P"
"200917_s_at"	"P"	"P"	"P"
"200918_s_at"	"P"	"P"	"P"
"200919_at"	"P"	"P"	"P"
"200920_s_at"	"P"	"P"	"P"
"200921_s_at"	"P"	"P"	"P"
"200922_at"	"P"	"P"	"P"
"200923_at"	"P"	"P"	"P"
"200924_s_at"	"P"	"P"	"P"
"200925_at"	"P"	"P"	"P"
"200926_at"	"P"	"P"	"P"
"200927_s_at"	"P"	"P"	"P"
"200928_s_at"	"P"	"P"	"P"
"200929_at"	"P"	"P"	"P"
"200930_s_at"	"A"	"A"	"A"
"200931_s_at"	"P"	"P"	"P"
"200932_s_at"	"P"	"P"	"P"
"200933_x_at"	"P"	"P"	"P"
"200934_at"	"P"	"P"	"P"
"200935_at"	"P"	"P"	"P"
"200936_at"	"P"	"P"	"P"
"200937_s_at"	"P"	"P"	"P"
"200938_s_at"	"A"	"A"	"A"
"200939_s_at"	"A"	"A"	"A"
"200940_s_at"	"P"	"P"	"P"
"200941_at"	"P"	"P"	"P"
"200942_s_at"	"P"	"P"	"P"
"200943_at"	"P"	"P"	"P"
"200944_s_at"	"P"	"P"	"P"
"200945_s_at"	"P"	"P"	"P"
"200946_x_at"	"P"	"P"	"P"
"200947_s_at"	"P"	"P"	"P"
"200948_at"	"P"	"P"	"P"
"200949_x_at"	"P"	"P"	"P"
"200950_at"	"P"	"P"	"P"
"200951_s_at"	"A"	"A"	"A"
"200952_s_at"	"A"	"A"	"A"
"200953_s_at"	"A"	"A"	"A"
"200954_at"	"A"	"A"	"A"
"200955_at"	"P"	"P"	"P"
"200956_s_at"	"P"	"P"	"P"
"200957_s_at"	"P"	"P"	"P"
"200958_s_at"	"P"	"P"	"P"
"200959_at"	"P"	"P"	"P"
"200960_x_at"	"P"	"P"	"P"
"200961_at"	"P"	"P"	"P"
"200962_at"	"P"	"P"	"P"
"200963_x_at"	"P"	"P"	"P"
"200964_at"	"P"	"P"	"P"
"200965_s_at"	"A"	"A"	"P"
"200966_x_at"	"P"	"P"	"P"
"200967_at"	"P"	"P"	"P"
"200968_s_at"	"P"	"P"	"P"
"200969_at"	"P"	"P"	"P"
"200970_s_at"	"P"	"P"	"P"
"200971_s_at"	"P"	"P"	"P"
"200972_at"	"P"	"P"	"P"
"200973_s_at"	"P"	"P"	"P"
"200974_at"	"P"	"P"	"P"
"200975_at"	"P"	"P"	"P"
"200976_s_at"	"P"	"P"	"P"
"200977_s_at"	"P"	"P"	"P"
"200978_at"	"P"	"P"	"P"
"200979_at"	"P"	"P"	"P"
"200980_s_at"	"P"	"P"	"P"
"200981_x_at"	"P"	"P"	"P"
"200982_s_at"	"P"	"P"	"P"
"200983_x_at"	"P"	"P"	"P"
"200984_s_at"	"P"	"P"	"P"
"200985_s_at"	"P"	"P"	"P"
"200986_at"	"A"	"A"	"A"
"200987_x_at"	"P"	"P"	"P"
"200988_s_at"	"P"	"P"	"P"
"200989_at"	"P"	"P"	"P"
"200990_at"	"P"	"P"	"P"
"200991_s_at"	"P"	"P"	"P"
"200992_at"	"P"	"P"	"P"
"200993_at"	"P"	"P"	"P"
"200994_at"	"P"	"P"	"P"
"200995_at"	"P"	"P"	"P"
"200996_at"	"P"	"P"	"P"
"200997_at"	"P"	"P"	"P"
"200998_s_at"	"P"	"P"	"P"
"200999_s_at"	"P"	"P"	"P"
"201000_at"	"P"	"P"	"P"
"201001_s_at"	"P"	"P"	"P"
"201002_s_at"	"P"	"P"	"P"
"201003_x_at"	"P"	"P"	"P"
"201004_at"	"P"	"P"	"P"
"201005_at"	"P"	"P"	"P"
"201006_at"	"A"	"A"	"A"
